funder_name,source_peer,amount,fy,focus_areas,website,contact_apply,why_new,discovered_date
"Abercromby's Charitable Foundation",SecondBite,Not disclosed,FY24,"Food relief, community wellbeing","https://www.google.com/search?q=Abercromby%27s+Charitable+Foundation+Australia","Direct approach","Not in OZHARVEST known list",2026-07-12
"Annie and John Paterson Foundation",SecondBite,Not disclosed,FY24,"Social welfare, food security","https://www.google.com/search?q=Annie+and+John+Paterson+Foundation+Australia","Direct approach","Not in OZHARVEST known list",2026-07-12
"APS Foundation (Kate Jones & Stephen Alomes Fund)",SecondBite,Not disclosed,FY24,"Community health, food access","https://www.google.com/search?q=APS+Foundation+Kate+Jones+Stephen+Alomes","Via Australian Philanthropic Services","Not in OZHARVEST known list",2026-07-12
"Aurizon Community Giving Fund",SecondBite,Not disclosed,FY24,"Regional communities, rail corridor areas","https://www.aurizon.com.au/community","Online application","Corporate foundation, not in list",2026-07-12
"Bowden Marstan Foundation",SecondBite,Not disclosed,FY24,"Disadvantage, health","https://www.google.com/search?q=Bowden+Marstan+Foundation+Australia","Direct approach","Not in OZHARVEST known list",2026-07-12
"Charles and Cornelia Goode Foundation",SecondBite,Not disclosed,FY24,"Medical research, community","https://www.google.com/search?q=Charles+Cornelia+Goode+Foundation+Australia","Direct approach","Not in OZHARVEST known list",2026-07-12
"D & X Williamson Family Charitable Fund",SecondBite,Not disclosed,FY24,"Family philanthropy","https://www.google.com/search?q=D+%26+X+Williamson+Family+Charitable+Fund","Private ancillary fund","Not in OZHARVEST known list",2026-07-12
"Eric and Elizabeth Gross Foundation",SecondBite,Not disclosed,FY24,"Jewish community, broader welfare","https://www.google.com/search?q=Eric+Elizabeth+Gross+Foundation+Australia","Private ancillary fund","Not in OZHARVEST known list",2026-07-12
"Gailey Lazarus Charitable Foundation",SecondBite,Not disclosed,FY24,"Health, education, welfare","https://www.google.com/search?q=Gailey+Lazarus+Charitable+Foundation","Direct approach","Not in OZHARVEST known list",2026-07-12
"Gourlay Charitable Trust",SecondBite,Not disclosed,FY24,"Community wellbeing","https://www.google.com/search?q=Gourlay+Charitable+Trust+Australia","Private trust","Not in OZHARVEST known list",2026-07-12
"Harris Charitable Foundation",SecondBite,Not disclosed,FY24,"Youth, education, health","https://www.google.com/search?q=Harris+Charitable+Foundation+Australia","Direct approach","Not in OZHARVEST known list",2026-07-12
"Hupert Family Foundation",SecondBite,Not disclosed,FY24,"Family philanthropy","https://www.google.com/search?q=Hupert+Family+Foundation+Australia","Private ancillary fund","Not in OZHARVEST known list",2026-07-12
"HV McKay Charitable Trust",SecondBite,Not disclosed,FY24,"Education, community","https://www.equitytrustees.com.au/philanthropy/trusts/hv-mckay-charitable-trust","Via Equity Trustees","Historic trust (Sunshine Harvester), not in list",2026-07-12
"John and Rose Downer Foundation",SecondBite,Not disclosed,FY24,"SA-focused, community","https://www.jrd.org.au/","SA-based","Not in OZHARVEST known list",2026-07-12
"Marian & E.H Flack Trust",SecondBite,Not disclosed,FY24,"Medical research, social welfare","https://www.eqt.com.au/philanthropy/trusts/marian-eh-flack-trust","Via Equity Trustees","Not in OZHARVEST known list",2026-07-12
"Nigel and Patricia Peck Foundation",SecondBite,Not disclosed,FY24,"Arts, education, welfare","https://www.google.com/search?q=Nigel+Patricia+Peck+Foundation+Australia","Private ancillary fund","Not in OZHARVEST known list",2026-07-12
"Pavetta Foundation",SecondBite,Not disclosed,FY24,"Environment, community","https://www.google.com/search?q=Pavetta+Foundation+Australia","Direct approach","Not in OZHARVEST known list",2026-07-12
"Scobie & Claire Mackinnon Trust",SecondBite,Not disclosed,FY24,"Health, welfare, education","https://www.google.com/search?q=Scobie+Claire+Mackinnon+Trust+Australia","Private trust","Not in OZHARVEST known list",2026-07-12
"Zagora Foundation",SecondBite,Not disclosed,FY24,"Community, health","https://www.google.com/search?q=Zagora+Foundation+Australia","Direct approach","Not in OZHARVEST known list",2026-07-12
"Jack Brockhoff Foundation",Foodbank Victoria,"3-year commitment (pop-up markets)",FY19,"VIC regional, disadvantage","https://www.jackbrockhoff.org.au/","EOI via website","Not in OZHARVEST known list",2026-07-12
"Bendigo Bank Community Enterprise Foundation",Foodbank Victoria,"Christmas hampers support",FY19,"Local communities via branches","https://www.bendigobank.com.au/public/community/community-enterprise-foundation/","Local branch referral","Community foundation, not in list",2026-07-12
"Rotary Club of Camberwell",Foodbank Victoria,"Kitchen equipment",FY19,"Local service","Local club","Direct to club","Rotary (new channel)",2026-07-12
"Rotary Club of Footscray / House of Friendship Fund",Foodbank Victoria,"Kitchen equipment",FY19,"Local service","Local club","Direct to club","Rotary (new channel)",2026-07-12
"HHNF Limited",Foodbank Queensland,"Partnerships for Food Equity initiative",FY25,"Food equity, nutrition","https://www.google.com/search?q=HHNF+Limited+Australia+food","Unknown","Corporate/private vehicle, new",2026-07-12
"Motor Dealers of South Australia",Foodbank South Australia,"Key partner / industry-led",FY23,"Industry-led food relief","https://www.mtasa.com.au/","Industry association","Corporate partnership model",2026-07-12
