funder_name,source_peer,amount,fy,focus_areas,website,contact_apply,why_new,discovered_date
"Arcare Family Foundation","FareShare","Not disclosed","2025","Innovation in Ageing, supporting older Australians to age well","https://www.arcarefamilyfoundation.org.au/grants","hello@arcarefamilyfoundation.org.au; Always open for applications","Not in OzHarvest known funders list. PAF with focus on ageing sector.",2026-07-20
"Australian Philanthropic Services Foundation","FareShare","Not disclosed","2025","PuAF - flexible giving fund supporting wide range of charities","https://www.australianphilanthropicservices.com.au/aps-foundation","Via APS contact form; ongoing","Not in OzHarvest known funders list. Public Ancillary Fund that can grant to food relief.",2026-07-20
"Birchall Family Foundation Trust","FareShare","Not disclosed","2025","Family foundation - general charitable purposes","Not found","Not found","Not in OzHarvest known funders list. Private family foundation.",2026-07-20
"Brian M Davis Charitable Foundation","FareShare","Not disclosed","2025","General charitable purposes","Not found","Not found","Not in OzHarvest known funders list. Charitable foundation.",2026-07-20
"Campbell Edwards Trust","FareShare","Not disclosed","2025","General charitable purposes","Not found","Not found","Not in OzHarvest known funders list. Charitable trust.",2026-07-20
"Clayton Utz Foundation","FareShare","Not disclosed","2025","Corporate foundation - legal sector pro bono and community support","https://www.claytonutz.com/about-us/community","Via Clayton Utz website","Not in OzHarvest known funders list. Corporate foundation of major national law firm.",2026-07-20
"Eisen Family Private Fund","FareShare","Not disclosed","2025","Private ancillary fund - general charitable","Not found","Not found","Not in OzHarvest known funders list. PAF.",2026-07-20
"Erdi Foundation","FareShare","Not disclosed","2025","Strengthening community life, addressing disadvantage in Australia","https://erdifoundation.com.au","Via website contact form","Not in OzHarvest known funders list. PAF with focus on community strengthening.",2026-07-20
"Fair World Foundation","FareShare","Not disclosed","2025","General charitable purposes","Not found","Not found","Not in OzHarvest known funders list.",2026-07-20
"G & M Dyer Family Trust","FareShare","Not disclosed","2025","Family trust - general charitable","Not found","Not found","Not in OzHarvest known funders list. Family trust.",2026-07-20
"Gringlas Family Charitable Foundation","FareShare","Not disclosed","2025","Family foundation - general charitable","Not found","Not found","Not in OzHarvest known funders list. Family foundation.",2026-07-20
"Hope Saba Foundation","FareShare","Not disclosed","2025","General charitable purposes","Not found","Not found","Not in OzHarvest known funders list.",2026-07-20
"Jack and Ethel Goldin Foundation","FareShare","Not disclosed","2025","General charitable purposes","Not found","Not found","Not in OzHarvest known funders list.",2026-07-20
"Jamie and Rebecca Gray Foundation","FareShare","Not disclosed","2025","Family foundation","Not found","Not found","Not in OzHarvest known funders list.",2026-07-20
"Joe White Bequest","FareShare","Not disclosed","2025","Charitable bequest","Not found","Not found","Not in OzHarvest known funders list. Bequest program.",2026-07-20
